Year,Annual Temp deg C
1901,28.96
1902,29.22
1903,28.47
1904,28.49
1905,28.3
1906,28.73
1907,28.65
1908,28.83
1909,28.38
1910,28.53
1911,28.62
1912,28.95
1913,28.67
1914,28.66
1915,28.94
1916,28.82
1917,28.11
1918,28.66
1919,28.66
1920,28.76
1921,28.86
1922,28.8
1923,28.74
1924,28.8
1925,28.67
1926,28.7
1927,28.59
1928,28.98
1929,28.76
1930,28.65
1931,29.15
1932,29.09
1933,28.49
1934,29.03
1935,28.76
1936,28.71
1937,28.7
1938,28.7
1939,28.85
1940,28.88
1941,29.46
1942,28.98
1943,28.8
1944,28.89
1945,28.97
1946,29.37
1947,28.84
1948,28.73
1949,28.89
1950,28.47
1951,29.09
1952,29.16
1953,29.43
1954,28.92
1955,28.76
1956,28.63
1957,28.64
1958,29.34
1959,29.02
1960,29.31
1961,28.72
1962,28.89
1963,29.04
1964,29.09
1965,29.16
1966,29.41
1967,29.14
1968,29.07
1969,29.61
1970,29.47
1971,29.15
1972,29.31
1973,29.44
1974,29.26
1975,28.89
1976,29.27
1977,29.41
1978,29.23
1979,29.63
1980,29.58
1981,29.32
1982,29.12
1983,29.11
1984,29.28
1985,29.61
1986,29.33
1987,29.72
1988,29.55
1989,29.18
1990,29.14
1991,29.32
1992,29.23
1993,29.55
1994,29.46
1995,30.18
1996,29.58
1997,29.05
1998,29.7
1999,29.81
2000,29.75
2001,29.99
2002,30.23
2003,29.75
2004,29.79
2005,29.6
2006,30.06
2007,29.84
2008,29.64
2009,30.3
2010,30.13
2011,29.82
2012,29.81
2013,29.81
2014,29.72
2015,29.9
2016,31.63
2017,31.42
